Graph,Algorithm,Max threads,median,std
"('Preferential attachment 100 edges per vertice', 1000)",Boost DenseBoruvka,10,42270.5525205,1713.340787482004
"('Preferential attachment 100 edges per vertice', 1000)",Boost DenseBoruvka,12,39657.756897,565.5901660979569
"('Preferential attachment 100 edges per vertice', 1000)",Boost DenseBoruvka,14,37578.8876955,694.6344948575237
"('Preferential attachment 100 edges per vertice', 1000)",Boost DenseBoruvka,16,37855.519836,830.4711260418377
"('Preferential attachment 100 edges per vertice', 1000)",Boost DenseBoruvka,18,37219.421753,630.898399843783
"('Preferential attachment 100 edges per vertice', 1000)",Boost MergeLocal,1,74571.545044,761.8567335616566
"('Preferential attachment 100 edges per vertice', 1000)",Boost MergeLocal,2,343844.66201800003,5191.2446664953795
"('Preferential attachment 100 edges per vertice', 1000)",Boost MergeLocal,4,633207.584564,6445.679478486423
"('Preferential attachment 100 edges per vertice', 1000)",Boost MergeLocal,6,627522.8364869999,7942.603054823695
"('Preferential attachment 100 edges per vertice', 1000)",Boost MergeLocal,8,634667.2387695,9768.919321623778
"('Preferential attachment 100 edges per vertice', 1000)",Boost MergeLocal,10,950072.2390439999,7987.415708009631
"('Preferential attachment 100 edges per vertice', 1000)",Boost MergeLocal,12,951391.4188839999,14500.97844934492
"('Preferential attachment 100 edges per vertice', 1000)",Boost MergeLocal,14,985051.724609,24315.883512531906
"('Preferential attachment 100 edges per vertice', 1000)",Boost MergeLocal,16,1064724.51709,20283.88224673364
"('Preferential attachment 100 edges per vertice', 1000)",Boost MergeLocal,18,1085476.2449345002,28471.55983435692
"('Preferential attachment 100 edges per vertice', 1000)",Filter Kruskal,1,13168.072998,4632.591520376779
"('Preferential attachment 100 edges per vertice', 1000)",Filter Kruskal,2,8023.365051,545.0684868554644
"('Preferential attachment 100 edges per vertice', 1000)",Filter Kruskal,4,8416.951721500001,1409.5964040731424
"('Preferential attachment 100 edges per vertice', 1000)",Filter Kruskal,6,7849.900879000001,1133.9667400716999
"('Preferential attachment 100 edges per vertice', 1000)",Filter Kruskal,8,8144.781005999999,1527.5331719129017
"('Preferential attachment 100 edges per vertice', 1000)",Filter Kruskal,10,10268.1907345,1579.4596358507843
"('Preferential attachment 100 edges per vertice', 1000)",Filter Kruskal,12,10323.4100345,1330.397295279779
"('Preferential attachment 100 edges per vertice', 1000)",Filter Kruskal,14,10047.356079000001,1755.8851509475471
"('Preferential attachment 100 edges per vertice', 1000)",Filter Kruskal,16,11998.097473000002,1608.4246637655904
"('Preferential attachment 100 edges per vertice', 1000)",Filter Kruskal,18,12621.15448,1591.8388528263447
"('Preferential attachment 100 edges per vertice', 1000)",Filter Sollin,1,6902.038146999999,3522.4346398694893
"('Preferential attachment 100 edges per vertice', 1000)",Filter Sollin,2,7445.965332,69494.67810151803
"('Preferential attachment 100 edges per vertice', 1000)",Filter Sollin,4,9632.761139,111986.65814617134
"('Preferential attachment 100 edges per vertice', 1000)",Filter Sollin,6,7305.847107,113321.08146816357
"('Preferential attachment 100 edges per vertice', 1000)",Filter Sollin,8,9176.61911,97383.01723851525
"('Preferential attachment 100 edges per vertice', 1000)",Filter Sollin,10,7993.214507999999,66910.31676320877
"('Preferential attachment 100 edges per vertice', 1000)",Filter Sollin,12,7384.1303100000005,71491.2619469674
"('Preferential attachment 100 edges per vertice', 1000)",Filter Sollin,14,10052.566101,74795.95816792591
"('Preferential attachment 100 edges per vertice', 1000)",Filter Sollin,16,8685.5682985,53827.85657172183
"('Preferential attachment 100 edges per vertice', 1000)",Filter Sollin,18,8471.3362125,83071.77564399883
"('Preferential attachment 100 edges per vertice', 1000)",Sequential Kruskal,1,26360.888428,4647.913575994363
"('Preferential attachment 100 edges per vertice', 1000)",Sequential Kruskal,2,27963.091064,6082.4146539421545
"('Preferential attachment 100 edges per vertice', 1000)",Sequential Kruskal,4,26995.530029,630.9228012503578
"('Preferential attachment 100 edges per vertice', 1000)",Sequential Kruskal,6,26639.601196,710.7741957801926
"('Preferential attachment 100 edges per vertice', 1000)",Sequential Kruskal,8,25850.622069999998,771.9574134592931
"('Preferential attachment 100 edges per vertice', 1000)",Sequential Kruskal,10,24985.389403999998,1303.711739780069
"('Preferential attachment 100 edges per vertice', 1000)",Sequential Kruskal,12,24763.798096000002,752.825116128479
"('Preferential attachment 100 edges per vertice', 1000)",Sequential Kruskal,14,24854.645508,1153.4444798652753
"('Preferential attachment 100 edges per vertice', 1000)",Sequential Kruskal,16,24091.869751,465.13716976860843
"('Preferential attachment 100 edges per vertice', 1000)",Sequential Kruskal,18,24380.236328,560.7826485142807
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin AL,1,159326.62011699998,4937.270620359735
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin AL,2,160866.60000600002,1048740.4693291606
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin AL,4,133427.52886999998,1224530.7485764327
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin AL,6,259711.4431455,1030113.0922829378
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin AL,8,264128.386963,1057174.9931376595
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin AL,10,108205.5138245,1110721.9760826938
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin AL,12,205264.4937135,825069.5233307608
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin AL,14,183458.99316399998,804530.0021503156
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin AL,16,148243.112671,1152696.977801429
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin AL,18,132936.66897549998,484472.90529894916
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin FAL,1,33798.662109,3154.388800850837
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin FAL,2,32389.2037355,92308.85992439737
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin FAL,4,26147.9033815,83868.47447543927
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin FAL,6,50578.6994625,93057.2304691674
